时间,COD_in,BOD5_in,SS_in,TN_in,TP_in,NH3N_in,pH_in,曝气量,污泥回流比,剩余污泥排放量,HRT,DO设定值,碳源投加量,COD_out,BOD5_out,SS_out,TN_out,TP_out,NH3N_out,pH_out,MLSS,SV30,水温,处理水量
2024-01-01 00:00:00,370.86,135.98,249.25,42.77,5.97,22.311,7.42,5328.3,116.8,88.4,12.3,1.89,97.6,67.09,10.21,5.12,16.97,0.827,5.58,7.07,2967.0,24.7,0.6,2124.4
2024-01-01 01:00:00,359.21,146.34,256.71,33.28,4.736,19.157,7.41,4541.8,99.2,78.3,12.35,1.92,37.7,52.3,10.07,16.24,15.05,0.483,3.574,7.3,2800.0,24.6,6.2,2160.6
2024-01-01 02:00:00,409.24,169.81,320.88,39.55,6.169,22.327,7.01,5282.0,102.7,93.2,11.91,2.21,38.3,54.11,11.58,14.48,16.72,0.722,7.728,6.85,3171.0,30.6,5.6,2086.8
2024-01-01 03:00:00,464.21,201.56,235.07,43.36,5.731,23.945,7.52,5496.0,103.8,83.8,11.26,2.41,112.2,60.86,21.81,10.08,18.89,0.531,5.976,7.48,2946.0,26.4,5.8,2406.2
2024-01-01 04:00:00,391.44,175.14,254.78,49.27,5.928,29.389,6.91,5517.9,106.4,72.8,12.12,2.25,100.5,59.4,11.12,17.65,19.48,0.796,3.861,6.57,3194.0,30.3,8.4,2337.7
2024-01-01 05:00:00,398.42,147.24,338.33,58.56,4.472,30.271,7.08,5311.9,120.9,83.5,12.35,2.01,134.7,62.64,10.89,15.75,22.85,0.423,7.663,7.1,3584.0,25.1,5.3,2451.3
2024-01-01 06:00:00,491.99,184.83,269.04,46.19,4.347,24.077,7.3,5870.5,99.7,90.9,11.51,2.58,78.1,67.13,17.13,19.39,17.32,0.492,5.976,7.43,3078.0,20.4,5.5,2581.8
2024-01-01 07:00:00,451.68,163.63,335.33,40.62,5.752,22.315,7.03,5350.8,99.0,115.7,11.95,2.44,106.8,64.14,15.54,26.76,16.22,0.791,5.235,7.01,3024.0,21.8,2.2,2210.7
2024-01-01 08:00:00,386.87,152.03,367.48,48.74,6.03,25.246,7.25,4815.0,95.2,109.9,12.67,1.99,108.8,61.04,13.18,13.49,19.85,0.843,5.574,7.33,2927.0,33.2,8.3,2151.7
2024-01-01 09:00:00,429.29,177.72,270.54,52.15,4.98,30.006,7.25,5298.8,114.5,65.1,11.4,1.72,106.8,84.51,18.83,17.09,17.29,0.674,7.545,7.17,3654.0,25.9,4.7,2369.5
2024-01-01 10:00:00,371.52,159.61,309.72,45.45,4.886,23.374,7.16,5340.8,94.8,69.1,11.86,1.8,99.3,60.94,7.27,15.37,21.98,0.519,4.41,6.93,3391.0,26.5,3.4,2011.8
2024-01-01 11:00:00,360.42,143.35,225.49,39.67,5.821,22.269,7.37,5284.6,100.1,69.5,12.74,2.5,44.4,66.46,7.21,11.68,13.44,0.561,6.12,7.37,3071.0,28.1,5.4,2120.9
2024-01-01 12:00:00,379.72,148.25,293.42,46.21,5.628,25.185,7.15,5019.4,110.0,85.8,12.08,1.58,103.0,64.56,10.52,13.86,19.78,0.517,4.597,7.26,3037.0,20.1,9.0,2023.8
2024-01-01 13:00:00,274.36,110.99,261.98,43.4,5.003,24.337,7.25,4363.6,108.6,81.9,11.74,2.17,118.2,40.88,9.38,23.87,16.9,0.454,7.122,7.05,3508.0,27.0,9.3,2038.5
2024-01-01 14:00:00,272.87,102.31,263.22,35.29,5.376,18.598,7.43,4297.3,103.9,99.9,12.0,1.25,74.5,37.99,8.59,18.87,15.16,0.66,3.479,7.36,2979.0,29.8,3.1,1862.9
2024-01-01 15:00:00,311.31,144.04,215.36,39.61,4.097,21.113,7.36,4765.6,97.6,96.0,12.41,1.65,82.7,30.07,9.34,14.32,17.69,0.28,4.052,7.32,2417.0,20.2,7.4,1908.2
2024-01-01 16:00:00,286.53,100.79,174.93,41.0,4.461,22.744,7.36,4723.6,105.7,72.6,11.9,1.7,76.1,47.6,4.52,13.41,16.12,0.505,5.65,7.78,2929.0,33.8,5.7,1716.0
2024-01-01 17:00:00,333.9,135.41,247.18,41.12,5.506,23.031,6.97,5361.4,96.0,76.3,12.3,2.49,104.5,42.33,12.38,12.71,15.14,0.476,5.832,7.0,2626.0,16.9,7.0,1670.8
2024-01-01 18:00:00,286.03,131.78,158.32,36.44,4.623,20.036,7.3,4717.2,77.4,78.6,12.12,1.82,95.7,40.28,13.49,5.74,14.35,0.485,3.899,7.02,2897.0,24.6,5.6,1772.5
2024-01-01 19:00:00,269.17,107.72,220.48,35.71,4.7,22.687,7.02,4780.0,101.9,93.0,12.16,1.69,60.6,29.91,5.28,7.3,15.69,0.417,6.601,6.7,3344.0,27.9,6.2,1790.9
2024-01-01 20:00:00,389.12,153.43,269.74,42.46,6.036,21.25,6.94,4961.5,105.0,90.3,12.33,1.84,93.3,51.64,17.76,18.01,10.72,0.642,5.519,7.05,2538.0,22.8,7.7,1839.5
2024-01-01 21:00:00,531.03,129.2,250.68,51.4,4.055,29.044,7.19,4922.0,105.5,73.6,11.85,2.1,70.3,59.83,12.94,13.58,12.37,0.358,4.691,7.56,2731.0,19.6,1.5,2000.1
2024-01-01 22:00:00,571.23,140.88,326.89,63.37,5.543,30.865,7.02,5077.1,101.5,78.5,11.53,1.87,93.7,72.01,11.97,16.7,15.76,0.556,7.557,6.98,3413.0,27.7,5.7,2050.5
2024-01-01 23:00:00,489.68,135.03,304.24,54.62,6.327,32.09,7.36,4738.1,81.1,68.8,12.24,1.8,55.6,43.05,15.02,14.47,15.69,0.478,5.959,7.31,2959.0,30.1,2.7,2047.7
2024-01-02 00:00:00,576.15,120.14,248.19,73.08,5.289,37.323,7.36,5043.9,106.1,82.7,11.93,1.92,124.7,59.72,6.94,19.25,21.59,0.659,6.977,7.43,3121.0,26.8,4.1,2167.6
2024-01-02 01:00:00,650.8,181.41,287.89,67.04,6.326,37.135,6.82,5321.6,112.6,93.1,11.78,2.39,103.0,72.97,11.4,6.79,19.11,0.968,5.649,6.7,3201.0,23.7,5.0,2192.6
2024-01-02 02:00:00,359.03,128.28,295.44,53.65,5.25,28.508,7.03,5189.5,115.7,95.6,12.26,2.26,138.2,67.51,11.74,12.25,19.65,0.678,6.055,6.65,3358.0,40.7,3.0,2371.7
2024-01-02 03:00:00,449.16,176.07,234.13,51.53,5.634,29.066,6.91,5846.5,107.8,95.7,12.64,2.03,86.5,65.21,9.58,9.59,23.68,0.383,9.305,7.06,2774.0,25.2,3.9,2346.2
2024-01-02 04:00:00,408.47,158.13,270.08,44.16,6.579,23.065,7.11,4612.7,86.7,104.2,11.92,1.99,69.3,42.8,8.07,9.7,20.45,0.688,5.33,7.02,2275.0,22.6,2.2,2289.0
2024-01-02 05:00:00,431.51,180.22,292.54,58.38,7.0,30.374,7.29,5741.7,104.4,63.6,12.0,2.03,167.1,70.02,14.83,14.43,22.81,0.681,5.763,7.45,3204.0,32.5,3.8,2295.4
2024-01-02 06:00:00,417.73,147.06,223.37,59.44,7.297,36.958,7.15,4825.4,120.3,83.4,11.41,2.26,151.5,55.26,13.09,17.99,23.81,0.96,11.074,7.04,2476.0,22.0,6.1,2533.7
2024-01-02 07:00:00,549.11,227.26,323.18,55.87,7.627,31.525,7.08,6088.2,96.0,93.9,11.89,2.87,103.4,84.05,7.91,20.29,25.12,0.748,5.797,7.1,3427.0,26.8,6.8,2363.4
2024-01-02 08:00:00,443.61,204.39,305.52,46.91,6.296,24.486,7.46,6174.8,102.3,84.4,12.11,2.34,114.6,83.7,13.4,28.42,21.77,0.823,8.43,7.59,3098.0,28.8,3.5,2579.6
2024-01-02 09:00:00,380.53,136.65,233.2,48.29,7.118,25.952,6.74,5139.9,107.0,65.9,11.99,1.43,91.4,48.69,10.23,12.06,16.91,0.899,6.111,6.9,2878.0,22.9,7.7,2177.1
2024-01-02 10:00:00,466.31,189.18,321.53,49.21,5.814,31.114,7.45,5635.5,118.9,108.8,11.82,2.58,69.1,85.26,9.98,20.38,19.63,0.652,7.306,7.48,3350.0,32.0,6.2,2379.7
2024-01-02 11:00:00,350.67,133.3,324.99,43.65,6.505,23.495,7.09,4910.3,109.1,78.7,12.36,1.6,47.1,52.37,9.86,19.76,20.79,0.564,7.027,7.12,2627.0,23.0,7.9,2118.1
2024-01-02 12:00:00,406.1,167.63,292.61,52.94,5.8,27.292,7.18,5480.7,120.0,51.4,12.03,1.95,111.9,65.08,15.11,10.51,25.05,0.484,5.644,7.28,3025.0,31.9,1.5,2125.8
2024-01-02 13:00:00,291.69,116.84,259.17,44.21,5.74,22.804,7.09,4817.1,106.4,81.2,13.29,1.88,121.8,35.94,9.16,17.92,19.07,0.474,6.536,7.16,3153.0,23.0,5.7,1872.1
2024-01-02 14:00:00,308.96,117.64,285.82,30.65,5.517,16.015,7.51,4592.0,84.1,80.0,12.1,1.85,87.1,56.15,6.97,18.59,11.71,0.815,3.181,7.31,3147.0,31.7,6.3,1749.9
2024-01-02 15:00:00,364.05,150.95,279.96,42.02,4.102,21.865,6.95,5035.9,95.5,110.9,10.63,2.3,110.3,50.34,18.09,16.67,16.32,0.411,7.777,6.76,2913.0,28.9,1.6,2000.2
2024-01-02 16:00:00,377.28,171.33,258.96,38.23,4.283,18.58,7.2,4800.9,89.3,88.2,11.44,1.9,92.2,66.1,14.69,25.07,13.92,0.454,3.809,6.89,2874.0,24.8,9.9,1772.9
2024-01-02 17:00:00,347.96,137.19,213.41,38.67,4.931,19.097,7.31,4954.1,104.8,71.8,12.27,1.7,83.0,57.53,7.18,13.94,18.64,0.72,6.048,7.42,3390.0,34.2,3.8,1869.3
2024-01-02 18:00:00,334.51,141.03,252.35,37.34,3.865,18.988,6.88,4796.7,90.9,77.3,11.68,1.86,96.4,86.66,12.73,27.69,15.12,0.385,4.808,6.82,3278.0,31.6,6.2,1712.7
2024-01-02 19:00:00,329.18,118.9,287.69,42.18,5.365,24.447,7.02,4936.9,97.8,80.6,11.71,2.23,45.2,28.72,5.84,20.63,14.8,0.577,5.582,7.14,2876.0,28.8,6.9,1869.4
2024-01-02 20:00:00,286.03,106.21,226.15,44.19,5.487,23.462,7.17,4467.2,103.6,110.9,11.38,2.0,110.3,38.18,5.49,9.7,15.69,0.465,4.932,7.23,3357.0,33.3,5.3,1773.9
2024-01-02 21:00:00,326.56,135.25,335.66,42.01,5.307,22.668,7.02,4818.5,118.0,98.7,11.76,1.96,62.6,56.5,11.0,17.14,16.75,0.518,6.004,6.87,3398.0,30.8,7.9,1749.6
2024-01-02 22:00:00,349.55,155.38,243.45,40.85,4.575,25.062,7.04,5000.4,107.3,58.2,12.1,2.4,63.9,64.23,14.2,17.5,12.64,0.533,6.647,7.02,3133.0,25.4,9.1,1989.4
2024-01-02 23:00:00,433.36,177.97,276.03,43.77,6.404,26.907,7.13,5440.3,95.3,78.9,12.19,2.59,103.3,71.45,15.26,16.34,16.96,0.463,6.316,7.06,3210.0,26.0,2.9,2097.0
2024-01-03 00:00:00,416.66,162.75,257.0,45.82,7.114,24.556,7.33,5415.6,106.2,80.3,11.49,2.44,113.1,53.54,4.35,20.95,16.87,1.185,9.223,7.24,2670.0,23.2,5.3,2150.0
2024-01-03 01:00:00,327.75,131.09,306.87,43.7,6.043,22.655,7.13,4836.5,119.5,69.1,12.4,1.58,77.0,67.77,5.57,18.43,18.05,0.616,5.707,7.27,3565.0,36.6,6.9,2148.6
2024-01-03 02:00:00,446.85,161.98,226.94,52.0,6.521,26.354,7.42,5248.3,115.8,50.9,11.4,2.53,122.9,68.93,12.55,0.32,23.41,0.997,8.395,7.79,3239.0,32.2,1.8,2043.7
2024-01-03 03:00:00,422.0,176.45,290.15,52.89,6.474,30.923,7.0,5384.6,94.3,92.9,12.22,2.16,123.5,40.88,16.26,6.7,24.03,0.825,9.945,7.17,3154.0,33.1,7.2,2181.1
2024-01-03 04:00:00,415.12,177.04,269.86,59.59,6.865,32.165,6.95,5271.9,106.5,69.9,12.17,2.08,122.8,76.39,13.75,15.91,24.24,0.578,6.197,6.95,3113.0,33.2,8.5,2271.3
2024-01-03 05:00:00,491.18,189.81,333.49,58.86,6.443,31.236,7.59,6013.3,105.2,107.1,11.53,2.22,130.2,72.49,14.26,18.94,24.99,0.891,7.645,7.77,3140.0,27.2,7.7,2354.4
2024-01-03 06:00:00,516.19,199.2,377.05,48.9,6.535,24.905,7.07,6176.2,121.5,92.8,11.47,2.45,143.9,43.31,20.89,30.01,24.18,0.933,7.188,7.33,3083.0,36.8,6.0,2531.3
2024-01-03 07:00:00,508.05,207.27,358.05,56.51,7.238,28.906,6.94,5378.6,125.8,83.7,12.19,2.29,115.6,66.57,16.25,27.22,26.06,0.207,8.968,6.73,3376.0,29.9,8.2,2371.2
2024-01-03 08:00:00,405.24,156.79,207.37,46.6,8.249,26.377,6.85,5461.4,99.0,39.5,11.72,2.22,91.6,59.26,8.4,10.94,20.01,1.161,6.246,7.04,2676.0,22.1,5.8,2106.0
2024-01-03 09:00:00,424.34,168.89,411.2,53.87,5.238,26.085,7.42,5617.0,104.6,114.5,11.9,2.17,117.7,57.2,19.59,28.99,20.59,0.264,8.374,7.53,3368.0,32.0,2.5,2005.8
2024-01-03 10:00:00,444.86,205.97,319.15,46.37,6.036,27.811,7.13,5070.6,105.5,91.3,12.34,2.35,92.3,72.08,13.07,13.38,19.28,0.635,9.638,7.31,3168.0,30.8,4.1,2161.8
2024-01-03 11:00:00,461.31,181.11,260.62,42.37,5.064,22.171,7.15,5730.4,102.6,74.3,12.24,2.5,101.7,51.21,9.51,7.46,17.72,0.586,6.458,7.27,3137.0,24.7,4.6,2108.7
2024-01-03 12:00:00,374.19,145.65,290.27,46.64,6.755,25.306,7.17,5389.8,95.7,70.7,11.54,1.98,126.0,60.61,13.29,15.49,21.43,0.561,6.66,7.13,3363.0,29.5,5.0,2120.4
2024-01-03 13:00:00,372.59,141.8,279.39,31.9,5.06,15.414,7.4,4828.0,91.0,106.9,11.97,1.85,54.8,77.79,6.54,16.19,13.21,0.303,3.111,7.71,3180.0,26.5,5.0,1857.0
2024-01-03 14:00:00,317.57,134.12,235.4,34.52,4.325,18.966,7.16,4766.9,81.1,62.6,11.53,1.3,49.2,51.36,12.58,22.04,12.28,0.581,5.659,7.22,3179.0,29.3,4.5,1793.9
2024-01-03 15:00:00,302.6,119.39,259.86,39.66,5.434,21.163,7.67,4818.9,112.5,75.5,12.43,2.09,118.7,54.17,8.5,11.71,16.18,0.627,4.21,7.6,2438.0,24.8,5.6,1904.6
2024-01-03 16:00:00,376.78,143.37,222.88,39.56,5.931,21.658,7.23,5305.0,82.0,85.8,12.77,2.1,81.3,59.7,12.35,18.47,19.1,0.442,4.741,7.3,3084.0,26.5,8.2,1933.6
2024-01-03 17:00:00,391.6,172.16,225.97,37.07,5.194,23.115,7.41,4911.5,79.9,99.4,11.58,2.07,38.6,61.78,14.83,15.45,17.47,0.475,5.079,7.56,2974.0,29.3,5.6,1606.6
2024-01-03 18:00:00,331.25,146.61,214.1,32.16,4.891,17.972,7.36,5253.4,98.1,73.2,11.98,2.3,97.6,37.79,13.54,8.74,12.49,0.327,2.932,7.38,3040.0,21.0,6.4,1702.8
2024-01-03 19:00:00,375.88,143.58,188.13,35.2,5.028,17.964,7.19,4520.6,83.8,62.8,12.46,1.69,90.5,48.54,9.48,7.41,14.97,0.425,4.126,7.25,2718.0,28.1,0.8,1880.5
2024-01-03 20:00:00,355.44,122.27,248.65,40.45,5.693,20.811,7.08,5424.3,95.4,78.3,12.01,2.03,113.2,50.51,7.71,17.24,16.92,0.26,7.334,7.1,3343.0,27.8,5.4,1897.3
2024-01-03 21:00:00,322.2,138.62,271.35,42.23,4.466,24.486,7.27,5026.1,102.4,95.7,12.28,1.63,114.3,48.36,11.27,18.5,18.69,0.423,6.397,7.17,3118.0,25.9,7.4,1776.2
2024-01-03 22:00:00,376.2,142.75,277.43,41.14,5.082,25.298,7.3,4944.5,107.7,99.7,12.03,2.28,135.7,68.38,15.3,20.53,16.14,0.474,8.496,7.18,2831.0,27.2,7.7,2038.8
2024-01-03 23:00:00,442.78,187.62,299.83,47.66,5.05,26.886,7.09,5723.2,103.9,64.4,11.47,1.61,78.4,95.39,13.5,25.17,20.42,0.456,6.696,6.88,2929.0,28.4,7.5,2006.9
2024-01-04 00:00:00,386.3,131.69,290.6,46.1,4.766,26.943,7.23,4867.1,122.7,85.8,12.06,2.35,79.3,56.63,9.42,21.13,19.52,0.497,5.735,7.46,3352.0,29.6,5.8,2152.1
2024-01-04 01:00:00,764.03,203.8,264.22,63.77,5.517,38.251,7.45,5672.1,102.0,59.9,12.56,2.61,76.4,60.24,17.19,24.38,19.27,0.411,7.134,7.41,3003.0,23.0,6.1,2088.0
2024-01-04 02:00:00,455.24,103.47,333.75,69.15,6.716,44.367,7.61,4744.2,116.8,101.6,12.16,1.53,84.8,43.6,4.41,15.47,17.22,0.624,8.087,7.1,3166.0,26.2,3.9,2272.3
2024-01-04 03:00:00,748.61,197.41,242.25,62.77,6.498,29.349,7.37,5660.2,104.3,85.6,12.81,2.37,87.1,77.69,21.97,12.62,17.78,0.496,6.669,7.43,2925.0,26.7,6.9,2170.0
2024-01-04 04:00:00,701.5,175.56,268.06,73.58,6.678,44.354,7.57,5190.3,128.6,68.0,11.11,1.99,92.8,59.66,21.83,13.08,19.02,0.479,5.422,7.63,3339.0,32.5,3.9,2289.5
2024-01-04 05:00:00,676.39,157.0,267.9,83.53,6.374,51.716,7.07,5214.9,123.1,104.8,12.19,2.35,95.4,64.47,14.85,21.19,26.1,0.555,6.236,6.79,3180.0,24.7,6.6,2349.8
2024-01-04 06:00:00,444.06,172.2,364.56,53.64,6.669,25.91,7.34,5508.3,111.3,96.5,11.68,2.53,96.6,44.15,11.33,30.59,18.07,0.566,6.726,7.22,2873.0,23.1,5.3,2412.6
2024-01-04 07:00:00,332.05,139.66,355.51,56.82,5.631,28.736,7.47,4692.2,119.7,93.9,11.56,1.64,116.2,37.53,14.12,20.95,20.31,0.734,5.684,7.34,2918.0,27.4,5.3,2672.2
